h_fraction,sin_theta_now,b_norm_now,dh_last_window,sin_theta_next,b_norm_next,best_merit_next_3,merit_now,windows_since_dump,coast_h_fraction_3,coast_h_fraction_6,label
0.4614699238,0.6254507593,1.40355078,0.3062837752,0.3436801906,1.480844681,0.7073382172,0.8778519013,1,0.8569760526,1.018571379,0
0.58619651,0.3556619114,1.480844681,0.3173645947,0.4471679043,1.153819138,1.014865394,0.5266800497,1,0.8382901724,1.024789315,0
0.7101427853,0.7362995577,1.153819138,0.285057215,0.9437135349,0.8190507465,1.364641996,0.8495565212,1,0.8034539508,1.075957572,0
0.770668512,0.9631706448,0.8190507465,0.2442332762,0.9999659231,1.091528176,1.449068813,0.7888856356,1,0.7528942181,1.224869344,1
0.2162588742,0.8524930304,1.091528176,0.7009383311,0.9909810408,1.451722733,1.438629705,0.9305201622,0,0.1740190543,0.4075174196,0
0.1310494139,0.9989452475,1.451722733,0.1013099889,0.9421198186,1.431059259,1.348229289,1.450191525,0.05,0.1364998527,0.7377977478,0
0.0797458449,0.7829481966,1.431059259,0.147327664,0.6523319772,1.050607266,1.175191312,1.120445266,0.1,0.1113830081,0.9980421908,0
0.1356875588,0.9882308914,1.050607266,0.09510309404,0.9914143394,0.8269946341,1.445453415,1.038242555,0.15,0.4320705124,1.112790831,0
0.08866221771,0.9991100176,0.8269946341,0.05768627964,0.9585523801,1.185481003,1.331657651,0.8262586234,0.2,0.7632739025,1.0827273,0
0.1164841709,0.9993231772,1.185481003,0.2025772483,0.9904541884,1.475877979,1.461789526,1.184678643,0.25,0.9794697156,1.000650545,0
0.418222807,0.9377762387,1.475877979,0.3056068581,0.8601938948,1.358061116,1.168195881,1.3840433,0.3,1.027251257,0.9787762292,1
0.1905158569,0.3519455555,1.358061116,0.3340641025,0.669921944,0.9519453219,1.058095695,0.4779635739,0,0.3317328245,0.1201229017,0
0.3211127878,0.6953077434,0.9519453219,0.2140738295,0.8760633561,0.8735458444,1.472923057,0.6618949536,0.05,0.2077112128,0.2537218981,0
0.3860233065,0.7916979121,0.8735458444,0.09204644173,0.9567298803,1.270392038,1.458099962,0.6915844212,0.1,0.1279591398,0.515447187,0
0.3311058691,0.9299487202,1.270392038,0.06277709672,0.9736776452,1.47354237,1.434755265,1.18139945,0.15,0.132844755,0.8427120737,0
0.2092621297,0.936274768,1.47354237,0.1289522338,0.9439132988,1.264769162,1.193832432,1.379640541,0.2,0.2410375592,1.131494316,0
0.1218837965,0.7548253156,1.264769162,0.1086508749,0.7413033534,0.8712092874,1.338972261,0.9546797821,0.25,0.5171240478,1.296274308,1
0.09151253904,0.6564772813,0.8712092874,0.0874124772,0.9871940807,0.9493040106,1.055189566,0.5719291044,0,0.811101591,1.295715635,0
0.1802780334,0.9992135545,0.9493040106,0.156116058,0.9955729341,1.33901801,1.443153503,0.9485574348,0.05,1.076572306,1.22116861,1
0.0509827894,0.9092724505,1.33901801,0.139129519,0.9030697692,1.443159852,1.303274034,1.217532187,0,0.8411978359,0.7864123508,0
0.3710212893,0.9218484215,1.443159852,0.3240981152,0.7969734296,1.156411249,0.921629039,1.330374631,0.05,0.8209150284,0.7967625035,1
0.1879409271,0.331902533,1.156411249,0.2897307268,0.8389648416,0.8240098222,1.148490178,0.3838158227,0,0.1550607031,0.1749378051,0
0.2556805517,0.6560909337,0.8240098222,0.1514551538,0.9530155784,1.04085295,1.384431848,0.5406253736,0.05,0.09276387137,0.340464755,0
0.2441362852,0.8598800474,1.04085295,0.0620888005,0.9613685442,1.385240242,1.361713326,0.8950086844,0.1,0.1010459963,0.6353164988,0
